,Year,Team,GM
654,1991,KCR,Herk Robinson
655,1990,KCR,John Schuerholz
656,1989,KCR,John Schuerholz
657,1988,KCR,John Schuerholz
658,1987,KCR,John Schuerholz
659,1986,KCR,John Schuerholz
660,1985,KCR,John Schuerholz
661,1984,KCR,John Schuerholz
662,1983,KCR,John Schuerholz
663,1982,KCR,John Schuerholz
664,1981,KCR,Joe Burke
665,1980,KCR,Joe Burke
666,1979,KCR,Joe Burke
667,1978,KCR,Joe Burke
668,1977,KCR,Joe Burke
669,1976,KCR,Joe Burke
670,1975,KCR,Joe Burke
671,1974,KCR,Cedric Tallis
672,1973,KCR,Cedric Tallis
673,1972,KCR,Cedric Tallis
674,1971,KCR,Cedric Tallis
675,1970,KCR,Cedric Tallis
676,1969,KCR,Cedric Tallis
677,2021,LAA,Perry Minasian
678,2020,LAA,Billy Eppler
679,2019,LAA,Billy Eppler
680,2018,LAA,Billy Eppler
681,2017,LAA,Billy Eppler
682,2016,LAA,Billy Eppler
683,2015,LAA,Jerry Dipoto
684,2014,LAA,Jerry Dipoto
685,2013,LAA,Jerry Dipoto
686,2012,LAA,Jerry Dipoto
687,2011,LAA,Tony Reagins
688,2010,LAA,Tony Reagins
689,2009,LAA,Tony Reagins
690,2008,LAA,Tony Reagins
691,2007,LAA,Bill Stoneman
692,2006,LAA,Bill Stoneman
693,2005,LAA,Bill Stoneman
694,2004,ANA,Bill Stoneman
695,2003,ANA,Bill Stoneman
696,2002,ANA,Bill Stoneman
697,2001,ANA,Bill Stoneman
698,2000,ANA,Bill Stoneman
699,1999,ANA,Bill Bavasi
700,1998,ANA,Bill Bavasi
701,1997,ANA,Bill Bavasi
702,1996,CAL,Bill Bavasi
703,1995,CAL,Bill Bavasi
704,1994,CAL,Bill Bavasi
705,1993,CAL,Dan O'Brien
706,1992,CAL,Dan O'Brien
707,1991,CAL,Mike Port
708,1990,CAL,Mike Port
709,1989,CAL,Mike Port
710,1988,CAL,Mike Port
711,1987,CAL,Mike Port
712,1986,CAL,Mike Port
713,1985,CAL,Mike Port
714,1984,CAL,Buzzie Bavasi
715,1983,CAL,Buzzie Bavasi
716,1982,CAL,Buzzie Bavasi
717,1981,CAL,Buzzie Bavasi
718,1980,CAL,Buzzie Bavasi
719,1979,CAL,Buzzie Bavasi
720,1978,CAL,Buzzie Bavasi
721,1977,CAL,Harry Dalton
722,1976,CAL,Harry Dalton
723,1975,CAL,Harry Dalton
724,1974,CAL,Harry Dalton
725,1973,CAL,Harry Dalton
726,1972,CAL,Harry Dalton
727,1971,CAL,Dick Walsh
728,1970,CAL,Dick Walsh
729,1969,CAL,Dick Walsh
730,1968,CAL,Fred Haney
731,1967,CAL,Fred Haney
732,1966,CAL,Fred Haney
733,1965,CAL,Fred Haney
734,1964,LAA,Fred Haney
735,1963,LAA,Fred Haney
736,1962,LAA,Fred Haney
737,1961,LAA,Fred Haney
738,2018,LAD,Farhan Zaidi
739,2017,LAD,Farhan Zaidi
740,2016,LAD,Farhan Zaidi
741,2015,LAD,Farhan Zaidi
742,2014,LAD,Ned Colletti
743,2013,LAD,Ned Colletti
744,2012,LAD,Ned Colletti
745,2011,LAD,Ned Colletti
746,2010,LAD,Ned Colletti
747,2009,LAD,Ned Colletti
748,2008,LAD,Ned Colletti
749,2007,LAD,Ned Colletti
750,2006,LAD,Ned Colletti
751,2005,LAD,Paul DePodesta
752,2004,LAD,Paul DePodesta
753,2003,LAD,Dan Evans
754,2002,LAD,Dan Evans
755,2001,LAD,Kevin Malone
756,2000,LAD,Kevin Malone
757,1999,LAD,Kevin Malone
758,1998,LAD,Fred Claire
759,1997,LAD,Fred Claire
760,1996,LAD,Fred Claire
761,1995,LAD,Fred Claire
762,1994,LAD,Fred Claire
763,1993,LAD,Fred Claire
764,1992,LAD,Fred Claire
765,1991,LAD,Fred Claire
766,1990,LAD,Fred Claire
767,1989,LAD,Fred Claire
768,1988,LAD,Fred Claire
769,1987,LAD,Al Campanis
770,1986,LAD,Al Campanis
771,1985,LAD,Al Campanis
772,1984,LAD,Al Campanis
773,1983,LAD,Al Campanis
774,1982,LAD,Al Campanis
775,1981,LAD,Al Campanis
776,1980,LAD,Al Campanis
777,1979,LAD,Al Campanis
778,1978,LAD,Al Campanis
779,1977,LAD,Al Campanis
780,1976,LAD,Al Campanis
781,1975,LAD,Al Campanis
782,1974,LAD,Al Campanis
783,1973,LAD,Al Campanis
784,1972,LAD,Al Campanis
785,1971,LAD,Al Campanis
786,1970,LAD,Al Campanis
787,1969,LAD,Al Campanis
788,1968,LAD,Buzzie Bavasi
789,1967,LAD,Buzzie Bavasi
790,1966,LAD,Buzzie Bavasi
791,1965,LAD,Buzzie Bavasi
792,1964,LAD,Buzzie Bavasi
793,1963,LAD,Buzzie Bavasi
794,1962,LAD,Buzzie Bavasi
795,1961,LAD,Buzzie Bavasi
796,1960,LAD,Buzzie Bavasi
797,1959,LAD,Buzzie Bavasi
798,1958,LAD,Buzzie Bavasi
799,1957,BRO,Buzzie Bavasi
800,1956,BRO,Buzzie Bavasi
801,1955,BRO,Buzzie Bavasi
802,1954,BRO,Buzzie Bavasi
803,1953,BRO,Buzzie Bavasi
804,1952,BRO,Buzzie Bavasi
805,1951,BRO,Buzzie Bavasi
806,1950,BRO,Branch Rickey
807,2021,MIA,Kim Ng
808,2020,MIA,Michael Hill
809,2019,MIA,Michael Hill
810,2018,MIA,Michael Hill
811,2017,MIA,Michael Hill
812,2016,MIA,Michael Hill
813,2015,MIA,Dan Jennings
814,2015,MIA,Mike Berger
815,2014,MIA,Dan Jennings
816,2013,MIA,Michael Hill
817,2012,MIA,Michael Hill
818,2011,FLA,Michael Hill
819,2010,FLA,Michael Hill
820,2009,FLA,Michael Hill
821,2008,FLA,Michael Hill
822,2007,FLA,Larry Beinfest
