,Year,Team,GM
1611,1993,TEX,Tom Grieve
1612,1992,TEX,Tom Grieve
1613,1991,TEX,Tom Grieve
1614,1990,TEX,Tom Grieve
1615,1989,TEX,Tom Grieve
1616,1988,TEX,Tom Grieve
1617,1987,TEX,Tom Grieve
1618,1986,TEX,Tom Grieve
1619,1985,TEX,Tom Grieve
1620,1984,TEX,Joe Klein
1621,1983,TEX,Joe Klein
1622,1982,TEX,Eddie Robinson
1623,1981,TEX,Eddie Robinson
1624,1980,TEX,Eddie Robinson
1625,1979,TEX,Eddie Robinson
1626,1978,TEX,Dan O'Brien
1627,1977,TEX,Dan O'Brien
1628,1976,TEX,Dan O'Brien
1629,1975,TEX,Dan O'Brien
1630,1974,TEX,Dan O'Brien
1631,1973,TEX,Joe Burke
1632,1972,TEX,Joe Burke
1633,1971,WAS,Bob Short
1634,1970,WAS,Bob Short
1635,1969,WAS,Bob Short
1636,1968,WAS,George Selkirk
1637,1967,WAS,George Selkirk
1638,1966,WAS,George Selkirk
1639,1965,WAS,George Selkirk
1640,1964,WAS,George Selkirk
1641,1963,WAS,George Selkirk
1642,1962,WAS,Ed Doherty
1643,1961,WAS,Ed Doherty
1644,2021,TOR,Ross Atkins
1645,2020,TOR,Ross Atkins
1646,2019,TOR,Ross Atkins
1647,2018,TOR,Ross Atkins
1648,2017,TOR,Ross Atkins
1649,2016,TOR,Ross Atkins
1650,2015,TOR,Alex Anthopoulos
1651,2014,TOR,Alex Anthopoulos
1652,2013,TOR,Alex Anthopoulos
1653,2012,TOR,Alex Anthopoulos
1654,2011,TOR,Alex Anthopoulos
1655,2010,TOR,Alex Anthopoulos
1656,2009,TOR,JP Ricciardi
1657,2008,TOR,JP Ricciardi
1658,2007,TOR,JP Ricciardi
1659,2006,TOR,JP Ricciardi
1660,2005,TOR,JP Ricciardi
1661,2004,TOR,JP Ricciardi
1662,2003,TOR,JP Ricciardi
1663,2002,TOR,JP Ricciardi
1664,2001,TOR,Gord Ash
1665,2000,TOR,Gord Ash
1666,1999,TOR,Gord Ash
1667,1998,TOR,Gord Ash
1668,1997,TOR,Gord Ash
1669,1996,TOR,Gord Ash
1670,1995,TOR,Gord Ash
1671,1994,TOR,Pat Gillick
1672,1993,TOR,Pat Gillick
1673,1992,TOR,Pat Gillick
1674,1991,TOR,Pat Gillick
1675,1990,TOR,Pat Gillick
1676,1989,TOR,Pat Gillick
1677,1988,TOR,Pat Gillick
1678,1987,TOR,Pat Gillick
1679,1986,TOR,Pat Gillick
1680,1985,TOR,Pat Gillick
1681,1984,TOR,Pat Gillick
1682,1983,TOR,Pat Gillick
1683,1982,TOR,Pat Gillick
1684,1981,TOR,Pat Gillick
1685,1980,TOR,Pat Gillick
1686,1979,TOR,Pat Gillick
1687,1978,TOR,Pat Gillick
1688,1977,TOR,Buzzie Bavasi
1689,2021,WSN,Michael Rizzo
1690,2020,WSN,Michael Rizzo
1691,2020,WSN,Michael Rizzo
1692,2019,WSN,Michael Rizzo
1693,2018,WSN,Michael Rizzo
1694,2017,WSN,Michael Rizzo
1695,2016,WSN,Michael Rizzo
1696,2015,WSN,Michael Rizzo
1697,2014,WSN,Michael Rizzo
1698,2013,WSN,Michael Rizzo
1699,2012,WSN,Michael Rizzo
1700,2011,WSN,Michael Rizzo
1701,2010,WSN,Michael Rizzo
1702,2009,WSN,Michael Rizzo
1703,2008,WSN,Jim Bowden
1704,2007,WSN,Jim Bowden
1705,2006,WSN,Jim Bowden
1706,2005,WSN,Jim Bowden
1707,2004,MON,Omar Minaya
1708,2003,MON,Omar Minaya
1709,2002,MON,Omar Minaya
1710,2001,MON,Jim Beattie
1711,2000,MON,Jim Beattie
1712,1999,MON,Jim Beattie
1713,1998,MON,Jim Beattie
1714,1997,MON,Jim Beattie
1715,1996,MON,Jim Beattie
1716,1995,MON,Kevin Malone
1717,1994,MON,Kevin Malone
1718,1993,MON,Dan Duquette
1719,1992,MON,Dan Duquette
1720,1991,MON,Dave Dombrowski
1721,1990,MON,Dave Dombrowski
1722,1989,MON,Dave Dombrowski
1723,1988,MON,Bill Stoneman
1724,1987,MON,Murray Cook
1725,1986,MON,Murray Cook
1726,1985,MON,Murray Cook
1727,1984,MON,John McHale
1728,1983,MON,John McHale
1729,1982,MON,John McHale
1730,1981,MON,John McHale
1731,1980,MON,John McHale
1732,1979,MON,John McHale
1733,1978,MON,Charlie Fox
1734,1977,MON,Charlie Fox
1735,1976,MON,Jim Fanning
1736,1975,MON,Jim Fanning
1737,1974,MON,Jim Fanning
1738,1973,MON,Jim Fanning
1739,1972,MON,Jim Fanning
1740,1971,MON,Jim Fanning
1741,1970,MON,Jim Fanning
1742,1969,MON,Jim Fanning
1743,2021,CHW,Rick Hahn
1744,2020,CHW,Rick Hahn
1745,2019,CHW,Rick Hahn
1746,2018,CHW,Rick Hahn
1747,2017,CHW,Rick Hahn
1748,2016,CHW,Rick Hahn
1749,2015,CHW,Rick Hahn
1750,2014,CHW,Rick Hahn
1751,2013,CHW,Rick Hahn
1752,2012,CHW,Kenny Williams
1753,2011,CHW,Kenny Williams
1754,2010,CHW,Kenny Williams
1755,2009,CHW,Ken Williams
1756,2008,CHW,Ken Williams
1757,2007,CHW,Ken Williams
1758,2006,CHW,Ken Williams
1759,2005,CHW,Ken Williams
1760,2004,CHW,Ken Williams
1761,2003,CHW,Ken Williams
1762,2002,CHW,Ken Williams
1763,2001,CHW,Ken Williams
1764,2000,CHW,Ron Schueler
1765,1999,CHW,Ron Schueler
1766,1998,CHW,Ron Schueler
1767,1997,CHW,Ron Schueler
1768,1996,CHW,Ron Schueler
1769,1995,CHW,Ron Schueler
1770,1994,CHW,Ron Schueler
1771,1993,CHW,Ron Schueler
1772,1992,CHW,Ron Schueler
1773,1991,CHW,Ron Schueler
1774,1990,CHW,Larry Himes
1775,1989,CHW,Larry Himes
1776,1988,CHW,Larry Himes
1777,1987,CHW,Larry Himes
1778,1986,CHW,Ken Harrelson
1779,1985,CHW,Roland Hemond
1780,1984,CHW,Roland Hemond
1781,1983,CHW,Roland Hemond
1782,1982,CHW,Roland Hemond
1783,1981,CHW,Roland Hemond
1784,1980,CHW,Roland Hemond
1785,1979,CHW,Roland Hemond
1786,1978,CHW,Roland Hemond
1787,1977,CHW,Roland Hemond
1788,1976,CHW,Roland Hemond
1789,1975,CHW,Roland Hemond
1790,1974,CHW,Roland Hemond
1791,1973,CHW,Roland Hemond
1792,1973,CHW,Stu Holcomb
1793,1972,CHW,Stu Holcomb
1794,1971,CHW,Stu Holcomb
1795,1970,CHW,Ed Short
1796,1969,CHW,Ed Short
1797,1968,CHW,Ed Short
1798,1967,CHW,Ed Short
1799,1966,CHW,Ed Short
1800,1965,CHW,Ed Short
1801,1964,CHW,Ed Short
1802,1963,CHW,Ed Short
1803,1962,CHW,Ed Short
1804,1961,CHW,Bill Veeck
1805,1961,CHW,Hank Greenberg
1806,1960,CHW,Bill Veeck
1807,1959,CHW,Charlie Comiskey
1808,1958,CHW,Charlie Comiskey
1809,1957,CHW,Charlie Comiskey
1810,1956,CHW,Charlie Comiskey
1811,1955,CHW,Frank Lane
1812,1954,CHW,Frank Lane
1813,1953,CHW,Frank Lane
1814,1952,CHW,Frank Lane
1815,1951,CHW,Frank Lane
1816,1950,CHW,Frank Lane
